# time,X,Y,Z,id,intensity,distance
2077921638,0.000000,8.414806,-1.028108,8,1,8.478
2077921642,0.002604,8.525434,-0.742179,10,1,8.558
2077921647,0.005246,8.588212,-0.447889,12,1,8.600
2077921675,0.019080,7.808521,-2.081093,0,13,8.084
2077921679,0.024845,9.038223,-2.076946,2,5,9.276
2077921684,0.032387,10.603487,-2.053019,4,8,10.802
2077921686,0.149525,46.623664,4.075363,5,15,46.802
2077921693,0.030842,8.414750,-1.028108,8,1,8.478
2077921698,0.033851,8.525367,-0.742179,10,1,8.558
2077921702,0.036399,8.512240,-0.443912,12,1,8.524
2077921730,0.047676,7.804535,-2.080058,0,13,8.080
2077921734,0.057691,9.014687,-2.071547,2,2,9.252
2077921739,0.070784,10.579741,-2.048439,4,8,10.778
2077921741,0.319189,46.692547,4.081464,5,15,46.872
2077921748,0.061194,8.414584,-1.028108,8,1,8.478
2077921753,0.064026,8.465420,-0.736950,10,1,8.498
2077921758,0.066573,8.476106,-0.442028,12,1,8.488
2077921762,0.073064,8.970336,-0.155883,14,1,8.972
2077921785,0.075030,7.815912,-2.083164,0,11,8.092
2077921790,0.089389,9.037815,-2.076946,2,5,9.276
2077921794,0.107994,10.606914,-2.053782,4,4,10.806
2077921797,0.482298,46.703102,4.082510,5,15,46.884
2077921808,0.092959,8.409362,-0.732069,10,1,8.442
2077921813,0.095751,8.439874,-0.440144,12,1,8.452
2077921817,0.104283,8.962028,-0.155743,14,1,8.964
2077921840,0.102514,7.831056,-2.087305,0,13,8.108
2077921845,0.120792,9.031603,-2.075596,2,5,9.270
2077921850,0.144810,10.602548,-2.053019,4,8,10.802
2077921852,0.644910,46.733021,4.085299,5,15,46.916
2077921864,0.122585,8.448834,-0.735555,10,1,8.482
2077921868,0.124843,8.439493,-0.440144,12,1,8.452
2077921873,0.133240,8.837649,-0.153579,14,1,8.840
2077921896,0.128911,7.815209,-2.083164,0,13,8.092
2077921900,0.151529,9.031139,-2.075596,2,5,9.270
2077921905,0.180492,10.578438,-2.048439,4,8,10.778
2077921907,0.804026,46.734539,4.085647,5,15,46.920
2077921919,0.150054,8.376654,-0.729280,10,1,8.410
2077921923,0.153929,8.458989,-0.441190,12,1,8.472
2077921928,0.164795,8.917119,-0.154975,14,1,8.920
2077921951,0.155431,7.810862,-2.082128,0,11,8.088
2077921956,0.182527,9.040312,-2.077846,2,2,9.280
2077921960,0.216888,10.589536,-2.050729,4,4,10.790
2077921963,0.961173,46.598053,4.073969,5,7,46.786
2077921974,0.179207,8.392023,-0.730674,10,1,8.426
2077921979,0.184123,8.506331,-0.443702,12,1,8.520
2077921983,0.196035,8.936488,-0.155325,14,1,8.940
2077922006,0.182786,7.814134,-2.083164,0,13,8.092
2077922011,0.213991,9.035723,-2.076946,2,2,9.276
2077922016,0.253946,10.592640,-2.051492,4,4,10.794
2077922018,1.123537,46.582463,4.072923,5,7,46.774
2077922029,0.207807,8.363462,-0.728234,10,1,8.398
2077922034,0.213213,8.481677,-0.442446,12,1,8.496
2077922039,0.228753,8.995721,-0.156372,14,1,9.000
2077922062,0.210424,7.826967,-2.086787,0,9,8.106
2077922066,0.245187,9.027133,-2.075146,2,2,9.268
2077922071,0.290827,10.599548,-2.053019,4,8,10.802
2077922073,1.286856,46.665936,4.080592,5,7,46.862
2077922085,0.235265,8.322871,-0.724748,10,1,8.358
2077922089,0.240140,8.413023,-0.438887,12,1,8.428
2077922094,0.259237,8.994894,-0.156372,14,1,9.000
2077922117,0.236262,7.822364,-2.085752,0,9,8.102
2077922122,0.274883,9.018479,-2.073347,2,2,9.260
2077922126,0.326578,10.618148,-2.056835,4,4,10.822
2077922128,1.440860,46.637515,4.078501,5,7,46.838
2077922140,0.262864,8.322045,-0.724748,10,1,8.358
2077922145,0.267147,8.384233,-0.437422,12,1,8.400
2077922149,0.285852,8.894052,-0.154626,14,1,8.900
2077922172,0.262265,7.823468,-2.086270,0,11,8.104
2077922177,0.305643,9.035037,-2.077396,2,5,9.278
2077922181,0.362941,10.632683,-2.059888,4,4,10.838
2077922184,1.599855,46.660241,4.080941,5,7,46.866
2077922200,0.297259,8.407202,-0.438678,12,1,8.424
2077922204,0.317155,8.892991,-0.154626,14,1,8.900
2077922228,0.290794,7.818593,-2.085234,0,11,8.100
2077922232,0.338391,9.024119,-2.075146,2,2,9.268
2077922237,0.400277,10.588120,-2.051492,4,4,10.794
2077922239,1.770107,46.634155,4.079198,5,7,46.846
2077922255,0.328227,8.410047,-0.438887,12,1,8.428
2077922260,0.349747,8.891769,-0.154626,14,1,8.900
2077922283,0.319370,7.815545,-2.084717,0,9,8.098
2077922287,0.371522,9.030618,-2.076946,2,2,9.276
2077922292,0.439766,10.617993,-2.057598,4,4,10.826
2077922294,1.938785,46.655364,4.081638,5,7,46.874
2077922306,0.313772,7.426980,-0.646656,10,1,7.462
2077922310,0.358090,8.420823,-0.439515,12,1,8.440
