# time,X,Y,Z,id,intensity,distance
2086721534,0.002703,7.742861,-2.063493,0,100,8.016
2086721536,0.002273,4.597299,0.079546,1,1,4.598
2086721538,0.005694,8.897946,-2.044553,2,8,9.132
2086721543,0.009750,10.473958,-2.027832,4,4,10.670
2086721548,0.015431,12.630549,-1.993884,6,11,12.788
2086721552,0.007783,5.145353,-0.626671,8,1,5.184
2086721557,0.008778,4.867399,-0.422143,10,1,4.886
2086721561,0.009780,4.669581,-0.242523,12,1,4.676
2086721566,0.011047,4.631281,-0.080140,14,1,4.632
2086721589,0.029745,7.746668,-2.064529,0,100,8.020
2086721591,0.018321,4.597263,0.079546,1,1,4.598
2086721594,0.036706,8.886179,-2.041854,2,8,9.120
2086721598,0.046310,10.473860,-2.027832,4,8,10.670
2086721603,0.059520,12.630418,-1.993884,6,11,12.788
2086721607,0.025366,5.069862,-0.617409,8,1,5.108
2086721612,0.025769,4.867339,-0.422143,10,1,4.886
2086721617,0.026080,4.669519,-0.242523,12,1,4.676
2086721621,0.028106,4.783189,-0.082792,14,1,4.784
2086721647,0.034069,4.557178,0.078848,1,1,4.558
2086721649,0.067828,8.899638,-2.045003,2,5,9.134
2086721653,0.082871,10.473634,-2.027832,4,8,10.670
2086721658,0.103608,12.630134,-1.993884,6,11,12.788
2086721667,0.042549,4.843312,-0.420051,10,1,4.862
2086721677,0.044053,4.703077,-0.081396,14,1,4.704
2086721700,0.083847,7.748203,-2.065046,0,13,8.022
2086721702,0.050415,4.597023,0.079546,1,1,4.598
2086721704,0.098915,8.901295,-2.045453,2,5,9.136
2086721709,0.119341,10.465429,-2.026306,4,4,10.662
2086721713,0.147695,12.629695,-1.993884,6,11,12.788
2086721718,0.061664,5.144990,-0.626671,8,1,5.184
2086721723,0.060286,4.910870,-0.425978,10,1,4.930
2086721727,0.058227,4.633275,-0.240639,12,1,4.640
2086721732,0.058978,4.586922,-0.079372,14,1,4.588
2086721755,0.110616,7.728547,-2.059870,0,13,8.002
2086721757,0.067023,4.636809,0.080244,1,1,4.638
2086721759,0.129921,8.900897,-2.045453,2,2,9.136
2086721764,0.155894,10.476729,-2.028595,4,4,10.674
2086721769,0.191504,12.629107,-1.993884,6,11,12.788
2086721778,0.078190,4.970397,-0.431207,10,1,4.990
2086721783,0.074453,4.649023,-0.241476,12,1,4.656
2086721787,0.075017,4.602688,-0.079651,14,1,4.604
2086721810,0.136987,7.731989,-2.060905,0,13,8.006
2086721812,0.081375,4.556579,0.078848,1,1,4.558
2086721815,0.160529,8.917939,-2.049502,2,5,9.154
2086721819,0.191334,10.464360,-2.026306,4,8,10.662
2086721824,0.234485,12.628382,-1.993884,6,11,12.788
2086721833,0.094572,4.942213,-0.428767,10,1,4.962
2086721838,0.089965,4.632768,-0.240639,12,1,4.640
2086721842,0.092651,4.702371,-0.081396,14,1,4.704
2086721865,0.163383,7.735341,-2.061941,0,13,8.010
2086721868,0.096660,4.544280,0.078639,1,1,4.546
2086721870,0.190550,8.895907,-2.044553,2,2,9.132
2086721875,0.227678,10.483269,-2.030122,4,8,10.682
2086721879,0.278014,12.627498,-1.993884,6,11,12.788
2086721884,0.108146,4.846389,-0.590110,8,1,4.884
2086721889,0.110670,4.894050,-0.424583,10,1,4.914
2086721893,0.106136,4.632425,-0.240639,12,1,4.640
2086721898,0.106813,4.602059,-0.079651,14,1,4.604
2086721921,0.191583,7.755950,-2.067635,0,15,8.032
2086721923,0.114210,4.595881,0.079546,1,1,4.598
2086721925,0.222669,8.906857,-2.047252,2,2,9.144
2086721930,0.264986,10.474537,-2.028595,4,4,10.674
2086721935,0.323192,12.626423,-1.993884,6,11,12.788
2086721939,0.125486,4.845971,-0.590110,8,1,4.884
2086721944,0.127345,4.861755,-0.421794,10,1,4.882
2086721948,0.123661,4.667954,-0.242523,12,1,4.676
2086721953,0.123813,4.621638,-0.080000,14,1,4.624
2086721976,0.218731,7.733973,-2.061941,0,15,8.010
2086721978,0.130620,4.595444,0.079546,1,1,4.598
2086721981,0.254629,8.913799,-2.049052,2,2,9.152
2086721985,0.302836,10.497080,-2.033175,4,8,10.698
2086721990,0.367815,12.625202,-1.993884,6,11,12.788
2086721994,0.142541,4.845499,-0.590110,8,1,4.884
2086721999,0.143321,4.825432,-0.418657,10,1,4.846
2086722004,0.139955,4.667494,-0.242523,12,1,4.676
2086722008,0.139878,4.621179,-0.080000,14,1,4.624
2086722031,0.245235,7.738977,-2.063493,0,15,8.016
2086722034,0.143842,4.519023,0.078220,1,1,4.522
2086722036,0.284716,8.905090,-2.047252,2,2,9.144
2086722041,0.337674,10.468517,-2.027832,4,8,10.670
2086722045,0.410782,12.623877,-1.993884,6,11,12.788
2086722050,0.159813,4.868794,-0.593035,8,1,4.908
2086722054,0.158820,4.797038,-0.416216,10,1,4.818
2086722059,0.157572,4.718890,-0.245244,12,1,4.728
2086722064,0.155739,4.624674,-0.080070,14,1,4.628
2086722087,0.271369,7.732305,-2.061941,0,13,8.010
2086722089,0.158409,4.494524,0.077801,1,1,4.498
2086722091,0.315013,8.900169,-2.046353,2,5,9.140
2086722096,0.374025,10.479069,-2.030122,4,8,10.682
2086722100,0.454294,12.622386,-1.993884,6,11,12.788
2086722105,0.175802,4.844407,-0.590110,8,1,4.884
2086722110,0.176077,4.812385,-0.417611,10,1,4.834
2086722114,0.172718,4.682385,-0.243360,12,1,4.692
2086722119,0.171057,4.600119,-0.079651,14,1,4.604
2086722142,0.298734,7.723563,-2.059870,0,13,8.002
2086722144,0.172161,4.433983,0.076754,1,1,4.438
2086722147,0.346703,8.895091,-2.045453,2,2,9.136
2086722149,0.170539,4.358679,0.226403,3,1,4.368
2086722151,0.413519,10.528669,-2.040044,4,8,10.734
2086722160,0.194399,4.875483,-0.594010,8,1,4.916
2086722165,0.192974,4.803761,-0.416914,10,1,4.826
2086722170,0.188178,4.649807,-0.241686,12,1,4.660
2086722174,0.186212,4.567509,-0.079092,14,1,4.572
2086722197,0.327672,7.753327,-2.068152,0,13,8.034
2086722200,0.190534,4.493277,0.077801,1,1,4.498
2086722202,0.378232,8.889905,-2.044553,2,5,9.132
2086722206,0.449873,10.503597,-2.035464,4,4,10.710
2086722216,0.210181,4.843037,-0.590110,8,1,4.884
2086722220,0.210159,4.811017,-0.417611,10,1,4.834
2086722225,0.203180,4.621188,-0.240220,12,1,4.632
2086722229,0.204386,4.618776,-0.080000,14,1,4.624
2086722253,0.353969,7.750237,-2.067635,0,11,8.032
2086722255,0.195392,4.264876,0.073822,1,1,4.270
2086722257,0.409380,8.908033,-2.049052,2,2,9.152
2086722259,0.194246,4.213736,0.218867,3,1,4.224
2086722262,0.485255,10.494161,-2.033938,4,8,10.702
2086722271,0.224249,4.790737,-0.583773,8,1,4.832
2086722276,0.225781,4.794353,-0.416216,10,1,4.818
2086722280,0.220986,4.664360,-0.242523,12,1,4.676
2086722285,0.216868,4.550141,-0.078813,14,1,4.556
2086722308,0.379776,7.737410,-2.064529,0,11,8.020
2086722310,0.206366,4.192284,0.072565,1,1,4.198
2086722312,0.439311,8.898803,-2.047252,2,2,9.144
2086722315,0.205821,4.157196,0.215936,3,1,4.168
2086722317,0.521358,10.500292,-2.035464,4,4,10.710
2086722326,0.240155,4.782016,-0.582798,8,1,4.824
2086722331,0.239886,4.749780,-0.412382,10,1,4.774
2086722335,0.236859,4.663581,-0.242523,12,1,4.676
2086722340,0.229700,4.497452,-0.077906,14,1,4.504
2086722363,0.405702,7.728356,-2.062458,0,11,8.012
2086722365,0.220633,4.191558,0.072565,1,1,4.198
2086722368,0.470005,8.905040,-2.049052,2,2,9.152
2086722370,0.219968,4.156471,0.215936,3,1,4.168
2086722372,0.558548,10.525904,-2.040807,4,4,10.738
2086722382,0.257066,4.793065,-0.584260,8,1,4.836
2086722386,0.254763,4.725062,-0.410290,10,1,4.750
2086722391,0.251865,4.646793,-0.241686,12,1,4.660
2086722395,0.239566,4.396808,-0.076160,14,1,4.404
2086722418,0.433081,7.746219,-2.067635,0,11,8.032
2086722421,0.234913,4.190782,0.072565,1,1,4.198
