# time,X,Y,Z,id,intensity,distance
2067321719,0.002301,10.546602,-2.041952,4,12,10.744
2067321721,0.017382,48.285554,4.220739,5,8,48.470
2067321723,0.006338,12.630557,-1.993884,6,11,12.788
2067321728,0.012527,15.950212,-1.953340,8,6,16.070
2067321733,0.022849,21.374341,-1.866314,10,4,21.456
2067321737,0.043409,32.091929,-1.679668,12,96,32.136
2067321765,0.023761,7.779530,-2.073329,0,15,8.054
2067321769,0.029935,8.968052,-2.060750,2,5,9.204
2067321774,0.038152,10.534754,-2.039662,4,12,10.732
2067321776,0.182398,48.466521,4.236601,5,51,48.652
2067321779,0.049324,12.630462,-1.993884,6,11,12.788
2067321783,0.066779,15.942136,-1.952365,8,6,16.062
2067321788,0.095541,21.362185,-1.865268,10,6,21.444
2067321792,0.152591,32.083607,-1.679250,12,99,32.128
2067321820,0.050275,7.785200,-2.074882,0,15,8.060
2067321825,0.060389,8.938667,-2.054001,2,5,9.174
2067321829,0.074576,10.571862,-2.046913,4,8,10.770
2067321832,0.349325,48.495492,4.239216,5,59,48.682
2067321834,0.092862,12.630217,-1.993884,6,11,12.788
2067321839,0.121826,15.923944,-1.950172,8,7,16.044
2067321843,0.169798,21.361724,-1.865268,10,6,21.444
2067321848,0.264451,32.066901,-1.678412,12,99,32.112
2067321875,0.078169,7.788834,-2.075917,0,15,8.064
2067321880,0.092653,8.965675,-2.060300,2,5,9.202
2067321885,0.112233,10.555822,-2.043860,4,12,10.754
2067321887,0.522921,48.501901,4.239913,5,42,48.690
2067321889,0.138612,12.681161,-2.002019,6,11,12.840
2067321894,0.178755,15.919437,-1.949684,8,7,16.040
2067321898,0.246411,21.376918,-1.866662,10,4,21.460
2067321903,0.379135,32.061756,-1.678203,12,99,32.108
2067321931,0.106062,7.790436,-2.076434,0,13,8.066
2067321935,0.124465,8.955545,-2.058050,2,5,9.192
2067321940,0.149526,10.543579,-2.041570,4,8,10.742
2067321942,0.694804,48.507714,4.240610,5,42,48.698
2067321945,0.183716,12.700343,-2.005147,6,11,12.860
2067321949,0.235079,15.938558,-1.952122,8,7,16.060
2067321954,0.321939,21.415766,-1.870148,10,6,21.500
2067321986,0.132411,7.780372,-2.073846,0,15,8.056
2067321991,0.155483,8.986244,-2.065249,2,5,9.224
2067321995,0.184995,10.519454,-2.036991,4,8,10.718
2067321998,0.859926,48.507060,4.240785,5,51,48.700
2067322000,0.225668,12.628542,-1.993884,6,11,12.788
2067322004,0.288963,15.917818,-1.949684,8,7,16.040
2067322009,0.394529,21.398610,-1.868754,10,6,21.484
2067322014,0.631114,33.711821,-1.764871,12,3,33.764
2067322041,0.158969,7.783739,-2.074882,0,15,8.060
2067322046,0.185848,8.972024,-2.062099,2,8,9.210
2067322050,0.221526,10.546239,-2.042333,4,8,10.746
2067322053,1.026102,48.513794,4.241656,5,51,48.710
2067322055,0.268922,12.627695,-1.993884,6,11,12.788
2067322060,0.344413,15.954440,-1.954315,8,7,16.078
2067322064,0.468830,21.428997,-1.871543,10,6,21.516
2067322069,0.747581,33.721426,-1.765499,12,3,33.776
2067322097,0.186138,7.783137,-2.074882,0,13,8.060
2067322101,0.217354,8.979113,-2.063899,2,5,9.218
2067322106,0.258434,10.549327,-2.043097,4,8,10.750
2067322108,1.190728,48.318705,4.224922,5,8,48.518
2067322110,0.315447,12.725418,-2.009527,6,11,12.888
2067322115,0.399903,15.945203,-1.953340,8,6,16.070
2067322120,0.543426,21.419263,-1.870846,10,6,21.508
2067322124,0.865798,33.738577,-1.766546,12,3,33.796
2067322152,0.213782,7.799820,-2.079540,0,15,8.078
2067322156,0.248480,8.970508,-2.062099,2,5,9.210
2067322161,0.295257,10.548361,-2.043097,4,8,10.750
2067322166,0.359865,12.724240,-2.009527,6,11,12.888
2067322170,0.454539,15.907993,-1.948953,8,6,16.034
2067322175,0.618994,21.445118,-1.873286,10,6,21.536
2067322180,0.983563,33.735349,-1.766546,12,3,33.796
2067322207,0.241126,7.802888,-2.080576,0,13,8.082
2067322212,0.280520,8.992959,-2.067498,2,5,9.234
2067322216,0.332075,10.547266,-2.043097,4,8,10.750
2067322221,0.401142,12.624187,-1.993884,6,11,12.788
2067322226,0.511211,15.942022,-1.953340,8,6,16.070
2067322230,0.693848,21.442826,-1.873286,10,6,21.536
2067322235,1.102619,33.771634,-1.768639,12,3,33.836
2067322262,0.267034,7.763384,-2.070223,0,15,8.042
2067322267,0.311707,8.986082,-2.066148,2,8,9.228
2067322272,0.369302,10.557815,-2.045386,4,8,10.762
2067322281,0.567279,15.952044,-1.954803,8,7,16.082
2067322286,0.769122,21.452220,-1.874332,10,10,21.548
2067322290,1.224537,33.879353,-1.774501,12,3,33.948
