# time,X,Y,Z,id,intensity,distance
2064321625,0.002040,7.793089,-2.076952,0,15,8.068
2064321630,0.004892,8.970049,-2.061199,2,5,9.206
2064321634,0.008750,10.554452,-2.043478,4,8,10.752
2064321637,0.046854,48.261626,4.218647,5,8,48.446
2064321639,0.014053,12.630551,-1.993884,6,11,12.788
2064321644,0.022262,15.944246,-1.952609,8,9,16.064
2064321648,0.035920,21.382293,-1.867011,10,8,21.464
2064321653,0.063016,32.093894,-1.679773,12,100,32.138
2064321680,0.028521,7.781446,-2.073846,0,15,8.056
2064321685,0.035517,8.977776,-2.062999,2,5,9.214
2064321690,0.044891,10.570066,-2.046531,4,8,10.768
2064321692,0.212851,48.458427,4.235904,5,51,48.644
2064321694,0.057315,12.630428,-1.993884,6,11,12.788
2064321699,0.076990,15.944075,-1.952609,8,7,16.064
2064321704,0.109490,21.386028,-1.867359,10,6,21.468
2064321708,0.173569,32.079506,-1.679040,12,99,32.124
2064321736,0.055683,7.781299,-2.073846,0,15,8.056
2064321740,0.066666,8.952264,-2.057150,2,5,9.188
2064321745,0.081726,10.561992,-2.045005,4,12,10.760
2064321747,0.382346,48.501220,4.239739,5,51,48.688
2064321750,0.101404,12.630151,-1.993884,6,11,12.788
2064321754,0.132645,15.943710,-1.952609,8,7,16.064
2064321759,0.184209,21.393484,-1.868057,10,6,21.476
2064321763,0.285439,32.066721,-1.678412,12,96,32.112
2064321791,0.083009,7.796511,-2.077987,0,15,8.072
2064321796,0.097873,8.948079,-2.056250,2,5,9.184
2064321800,0.118506,10.553790,-2.043478,4,8,10.752
2064321803,0.551645,48.499590,4.239739,5,17,48.688
2064321805,0.146628,12.728483,-2.009527,6,11,12.888
2064321809,0.188345,15.947119,-1.953097,8,7,16.068
2064321814,0.259222,21.420602,-1.870497,10,6,21.504
2064321819,0.397396,32.067527,-1.678517,12,93,32.114
2064321846,0.110141,7.790379,-2.076434,0,13,8.066
2064321851,0.129585,8.980808,-2.063899,2,5,9.218
2064321856,0.155460,10.561164,-2.045005,4,12,10.760
2064321858,0.721233,48.517291,4.241482,5,51,48.708
2064321860,0.189575,12.629136,-1.993884,6,11,12.788
2064321865,0.243858,15.936440,-1.951878,8,6,16.058
2064321869,0.333868,21.411598,-1.869800,10,6,21.496
2064321902,0.137096,7.776426,-2.072811,0,15,8.052
2064321906,0.161042,8.990045,-2.066148,2,5,9.228
2064321911,0.191528,10.525227,-2.038136,4,8,10.724
2064321913,0.889630,48.510510,4.241133,5,51,48.704
2064321915,0.235208,12.727154,-2.009527,6,11,12.888
2064321920,0.299320,15.951379,-1.953828,8,6,16.074
2064321925,0.408359,21.438206,-1.872240,10,6,21.524
2064321929,0.651939,33.723410,-1.765499,12,3,33.776
2064321957,0.163520,7.773983,-2.072293,0,13,8.050
2064321962,0.191471,8.981651,-2.064349,2,5,9.220
2064321966,0.227349,10.524515,-2.038136,4,8,10.724
2064321968,1.054595,48.501225,4.240610,5,34,48.698
2064321971,0.276361,12.627535,-1.993884,6,11,12.788
2064321975,0.353782,15.958206,-1.954803,8,6,16.082
2064321980,0.481051,21.424740,-1.871194,10,6,21.512
2064321985,0.767435,33.752944,-1.767174,12,3,33.808
2064322012,0.190544,7.796557,-2.078505,0,13,8.074
2064322017,0.221735,8.963411,-2.060300,2,5,9.202
2064322021,0.264357,10.559000,-2.045005,4,8,10.760
2064322024,1.216605,48.306102,4.223876,5,8,48.506
2064322031,0.409224,15.964824,-1.955778,8,7,16.090
2064322035,0.556039,21.442856,-1.872937,10,8,21.532
2064322040,0.885983,33.778011,-1.768639,12,3,33.836
2064322068,0.218222,7.788101,-2.076434,0,13,8.066
2064322072,0.254742,8.995676,-2.067948,2,5,9.236
2064322077,0.302359,10.565836,-2.046531,4,8,10.768
2064322081,0.368715,12.751653,-2.013908,6,11,12.916
2064322086,0.465995,15.951352,-1.954315,8,6,16.078
2064322091,0.634167,21.488526,-1.877121,10,6,21.580
2064322095,1.006713,33.770633,-1.768430,12,3,33.832
2064322123,0.245841,7.779547,-2.074364,0,15,8.058
2064322127,0.285926,8.967442,-2.061649,2,5,9.208
2064322132,0.339222,10.545074,-2.042715,4,8,10.748
2064322141,0.522266,15.953581,-1.954803,8,7,16.082
2064322146,0.708301,21.450328,-1.873983,10,6,21.544
2064322150,1.127115,33.842766,-1.772408,12,3,33.908
2064322178,0.272181,7.774804,-2.073329,0,13,8.054
2064322183,0.317750,9.003420,-2.070197,2,8,9.246
2064322187,0.375528,10.555631,-2.045005,4,8,10.760
2064322192,0.455473,12.701410,-2.006399,6,11,12.868
2064322197,0.577133,15.967581,-1.956753,8,6,16.098
2064322201,0.781954,21.465712,-1.875552,10,12,21.562
2064322206,1.243754,33.878653,-1.774501,12,3,33.948
2064322233,0.299456,7.795067,-2.079023,0,15,8.076
2064322238,0.348380,9.000337,-2.069748,2,5,9.244
2064322243,0.411910,10.562133,-2.046531,4,8,10.768
2064322247,0.499751,12.719513,-2.009527,6,11,12.888
2064322252,0.632880,15.989309,-1.959678,8,6,16.122
2064322256,0.854992,21.442987,-1.873809,10,12,21.542
2064322261,1.357641,33.802321,-1.770733,12,3,33.876
2064322289,0.326664,7.793974,-2.079023,0,13,8.076
2064322293,0.378809,8.975702,-2.064349,2,5,9.220
2064322298,0.449610,10.580245,-2.050347,4,8,10.788
2064322300,2.860548,67.084555,5.870771,5,30,67.402
2064322307,0.688091,15.973119,-1.957971,8,9,16.108
2064322312,0.931304,21.473711,-1.876772,10,10,21.576
2064322316,1.481898,33.941042,-1.778269,12,3,34.020
2064322344,0.353430,7.783137,-2.076434,0,13,8.066
2064322349,0.410582,8.984059,-2.066598,2,5,9.230
2064322353,0.487080,10.590378,-2.052637,4,8,10.800
2064322362,0.744028,15.974586,-1.958459,8,7,16.112
2064322367,1.008494,21.518094,-1.880956,10,6,21.624
2064322372,1.600365,33.935662,-1.778269,12,3,34.020
2064322399,0.381540,7.801152,-2.081611,0,13,8.086
2064322404,0.442515,8.994249,-2.069298,2,5,9.242
2064322409,0.523657,10.580770,-2.051111,4,8,10.792
2064322418,0.800183,15.979822,-1.959434,8,7,16.120
2064322422,1.083400,21.510463,-1.880607,10,6,21.620
2064322427,1.720228,33.957795,-1.779735,12,3,34.048
2064322455,0.407960,7.784339,-2.077470,0,13,8.070
2064322457,3.551492,67.578434,1.180514,1,35,67.682
2064322459,0.473498,8.984865,-2.067498,2,2,9.234
2064322464,0.560172,10.571036,-2.049584,4,8,10.784
2064322468,0.672039,12.612667,-1.993884,6,11,12.788
2064322473,0.856170,15.980896,-1.959921,8,7,16.124
2064322478,1.158265,21.502571,-1.880259,10,6,21.616
2064322482,1.838752,33.951583,-1.779735,12,3,34.048
2064322510,0.435346,7.786725,-2.078505,0,15,8.074
2064322514,0.505951,9.002614,-2.071997,2,5,9.254
2064322519,0.596625,10.561176,-2.048058,4,8,10.776
2064322524,0.721661,12.708854,-2.009527,6,11,12.888
2064322528,0.913080,15.997629,-1.962359,8,7,16.144
2064322533,1.234457,21.518289,-1.882002,10,6,21.636
2064322537,1.959323,33.980849,-1.781619,12,3,34.084
2064322565,0.463211,7.796728,-2.081611,0,13,8.086
2064322570,0.535450,8.969673,-2.064799,2,2,9.222
2064322574,0.634744,10.582555,-2.052637,4,8,10.800
2064322584,0.967971,15.986446,-1.961384,8,7,16.136
2064322588,1.310473,21.541738,-1.884442,10,6,21.664
2064322593,2.076444,33.973893,-1.781619,12,3,34.084
2064322620,0.489501,7.791251,-2.080576,0,13,8.082
2064322625,0.566710,8.979468,-2.067498,2,5,9.234
2064322630,0.669266,10.556821,-2.048058,4,8,10.776
2064322632,3.083821,48.534360,4.251069,5,8,48.818
2064322634,0.815259,12.802164,-2.025171,6,11,12.988
2064322639,1.022374,15.983059,-1.961384,8,7,16.136
2064322643,1.384547,21.549083,-1.885488,10,6,21.676
2064322648,2.194117,33.998519,-1.783293,12,3,34.116
2064322676,0.515887,7.787612,-2.080058,0,15,8.080
2064322680,0.598045,8.987201,-2.069748,2,5,9.244
2064322685,0.705760,10.558380,-2.048821,4,8,10.780
