# time,X,Y,Z,id,intensity,distance
2069421713,0.000000,32.054011,-1.677680,12,16,32.098
2069421740,0.013591,7.787282,-2.075399,0,13,8.062
2069421745,0.018249,8.962237,-2.059400,2,5,9.198
2069421750,0.024566,10.556390,-2.043860,4,12,10.754
2069421752,0.119738,48.426869,4.233115,5,16,48.612
2069421754,0.033253,12.701629,-2.005147,6,11,12.860
2069421759,0.046293,15.914418,-1.948953,8,6,16.034
2069421764,0.068431,21.386198,-1.867359,10,8,21.468
2069421768,0.111896,32.055813,-1.677784,12,24,32.100
2069421796,0.040784,7.789119,-2.075917,0,18,8.064
2069421800,0.049598,8.973811,-2.062099,2,5,9.210
2069421805,0.061312,10.538571,-2.040425,4,8,10.736
2069421807,0.289147,48.487919,4.238519,5,51,48.674
2069421810,0.077155,12.630323,-1.993884,6,11,12.788
2069421814,0.101908,15.924084,-1.950172,8,7,16.044
2069421819,0.143162,21.397783,-1.868405,10,6,21.480
2069421823,0.223875,32.067210,-1.678412,12,35,32.112
2069421851,0.067821,7.771543,-2.071258,0,15,8.046
2069421856,0.080949,8.991123,-2.066148,2,5,9.228
2069421860,0.097718,10.530443,-2.038899,4,8,10.728
2069421863,0.456768,48.500577,4.239739,5,59,48.688
2069421865,0.121900,12.756400,-2.013908,6,11,12.916
2069421869,0.156762,15.943491,-1.952609,8,7,16.064
2069421874,0.216298,21.397169,-1.868405,10,6,21.480
2069421879,0.333218,32.086234,-1.679459,12,55,32.132
2069421906,0.093615,7.773207,-2.071776,0,15,8.048
2069421911,0.110404,8.961576,-2.059400,2,5,9.198
2069421916,0.132737,10.537913,-2.040425,4,8,10.736
2069421918,0.617523,48.492819,4.239216,5,17,48.682
2069421920,0.164201,12.755926,-2.013908,6,11,12.916
2069421925,0.209710,15.948838,-1.953340,8,6,16.070
2069421929,0.287466,21.412272,-1.869800,10,6,21.496
2069421934,0.439536,32.078961,-1.679145,12,27,32.126
2069421962,0.119659,7.790239,-2.076434,0,13,8.066
2069421966,0.140252,8.961158,-2.059400,2,5,9.198
2069421971,0.168363,10.560967,-2.045005,4,8,10.760
2069421973,0.780572,48.520358,4.241831,5,51,48.712
2069421980,0.263361,15.938115,-1.952122,8,6,16.060
2069421985,0.360764,21.455001,-1.873635,10,8,21.540
2069421989,0.577439,33.756729,-1.767174,12,3,33.808
2069422017,0.146997,7.797500,-2.078505,0,15,8.074
2069422022,0.171979,8.983995,-2.064799,2,5,9.222
2069422026,0.204998,10.548537,-2.042715,4,12,10.748
2069422028,0.949700,48.505385,4.240785,5,51,48.700
2069422035,0.319311,15.952977,-1.954072,8,7,16.076
2069422040,0.434764,21.409787,-1.869800,10,6,21.496
2069422045,0.694610,33.722558,-1.765499,12,3,33.776
2069422072,0.174214,7.796939,-2.078505,0,13,8.074
2069422077,0.203205,8.977495,-2.063449,2,5,9.216
2069422081,0.241368,10.528130,-2.038899,4,8,10.728
2069422084,1.118229,48.467913,4.237821,5,17,48.666
2069422091,0.374949,15.949780,-1.953828,8,6,16.074
2069422095,0.510349,21.443992,-1.872937,10,6,21.532
2069422100,0.814436,33.807782,-1.770105,12,3,33.864
