# time,X,Y,Z,id,intensity,distance
2066521576,0.000000,7.773771,-2.071776,0,15,8.048
2066521581,0.002672,8.960307,-2.058950,2,5,9.196
2066521585,0.006282,10.534821,-2.039662,4,12,10.732
2066521588,0.035989,48.281559,4.220390,5,8,48.466
2066521590,0.011298,12.630553,-1.993884,6,11,12.788
2066521595,0.018997,15.928369,-1.950659,8,7,16.048
2066521599,0.031847,21.362375,-1.865268,10,6,21.444
2066521604,0.057401,32.085916,-1.679354,12,96,32.130
2066521631,0.027807,7.771789,-2.071258,0,13,8.046
2066521636,0.034723,8.958291,-2.058500,2,5,9.194
2066521641,0.044016,10.544547,-2.041570,4,12,10.742
2066521643,0.209632,48.488328,4.238519,5,59,48.674
2066521645,0.057372,12.827968,-2.025171,6,11,12.988
2066521650,0.076034,15.938125,-1.951878,8,6,16.058
2066521654,0.108320,21.370094,-1.865965,10,6,21.452
2066521659,0.172137,32.073521,-1.678726,12,96,32.118
2066521687,0.055738,7.789026,-2.075917,0,15,8.064
2066521691,0.066812,8.971751,-2.061649,2,5,9.208
2066521696,0.081802,10.571808,-2.046913,4,12,10.770
2066521698,0.382331,48.499228,4.239564,5,59,48.686
2066521705,0.132447,15.919889,-1.949684,8,7,16.040
2066521710,0.184071,21.377546,-1.866662,10,6,21.460
2066521714,0.285457,32.068718,-1.678517,12,96,32.114
2066521742,0.082700,7.767535,-2.070223,0,15,8.042
2066521747,0.097958,8.955874,-2.058050,2,5,9.192
2066521751,0.118484,10.551827,-2.043097,4,8,10.750
2066521754,0.551645,48.499590,4.239739,5,25,48.688
2066521756,0.145490,12.629721,-1.993884,6,11,12.788
2066521760,0.188251,15.939180,-1.952122,8,7,16.060
2066521765,0.259078,21.408649,-1.869451,10,8,21.492
2066521770,0.397396,32.067527,-1.678517,12,96,32.114
2066521797,0.110141,7.790379,-2.076434,0,13,8.066
2066521802,0.129210,8.959375,-2.058950,2,5,9.196
2066521806,0.155047,10.543499,-2.041570,4,8,10.742
2066521809,0.720292,48.513320,4.241133,5,51,48.704
2066521811,0.189300,12.629140,-1.993884,6,11,12.788
2066521816,0.243394,15.936448,-1.951878,8,6,16.058
