# time,X,Y,Z,id,intensity,distance
2078221627,0.001100,8.400472,-0.438050,12,1,8.412
2078221655,0.015002,7.814326,-2.082646,0,13,8.090
2078221659,0.020007,9.049927,-2.079645,2,5,9.288
2078221664,0.026467,10.579945,-2.048439,4,8,10.778
2078221666,0.123254,46.561977,4.069959,5,15,46.740
2078221673,0.025340,8.218243,-1.003978,8,1,8.280
2078221678,0.029023,8.601096,-0.748803,10,1,8.634
2078221683,0.030789,8.400415,-0.438050,12,1,8.412
2078221710,0.042279,7.814226,-2.082646,0,13,8.090
2078221715,0.051553,9.042007,-2.077846,2,5,9.280
2078221719,0.063539,10.603346,-2.053019,4,4,10.802
2078221722,0.286078,46.609080,4.074143,5,22,46.788
2078221729,0.054027,8.218105,-1.003978,8,1,8.280
2078221733,0.058964,8.588988,-0.747757,10,1,8.622
2078221738,0.060255,8.420229,-0.439097,12,1,8.432
2078221765,0.069590,7.817894,-2.083681,0,15,8.094
2078221770,0.082745,9.008646,-2.070197,2,5,9.246
2078221775,0.100657,10.630546,-2.058361,4,4,10.830
2078221777,0.448040,46.619759,4.075189,5,15,46.800
2078221784,0.082474,8.217868,-1.003978,8,1,8.280
2078221789,0.088674,8.592718,-0.748105,10,1,8.626
2078221793,0.089152,8.407988,-0.438469,12,1,8.420
2078221821,0.096387,7.833065,-2.087822,0,13,8.110
2078221825,0.113625,9.025849,-2.074247,2,5,9.264
2078221830,0.136634,10.614437,-2.055308,4,4,10.814
2078221832,0.607091,46.647847,4.077803,5,30,46.830
2078221839,0.110442,8.217540,-1.003978,8,1,8.280
2078221844,0.115238,8.397131,-0.731023,10,1,8.430
2078221848,0.116760,8.335742,-0.434701,12,1,8.348
2078221876,0.122833,7.819171,-2.084199,0,13,8.096
2078221881,0.144409,9.025409,-2.074247,2,5,9.264
2078221885,0.172210,10.570722,-2.046913,4,4,10.770
2078221888,0.767089,46.669403,4.079895,5,30,46.854
2078221894,0.136639,8.098024,-0.989354,8,1,8.160
2078221899,0.144600,8.424574,-0.733463,10,1,8.458
2078221904,0.144378,8.271387,-0.431351,12,1,8.284
2078221908,0.164987,9.297120,-0.161607,14,1,9.300
2078221931,0.150127,7.818694,-2.084199,0,11,8.096
2078221936,0.176102,9.034592,-2.076496,2,5,9.274
2078221941,0.210350,10.632868,-2.059125,4,4,10.834
2078221943,0.928046,46.568833,4.071354,5,15,46.756
2078221950,0.164420,8.073681,-0.986429,8,1,8.136
2078221954,0.173101,8.380195,-0.729628,10,1,8.414
2078221959,0.172998,8.258852,-0.430723,12,1,8.272
2078221987,0.177243,7.810397,-2.082128,0,13,8.088
2078221991,0.207682,9.035870,-2.076946,2,5,9.276
2078221996,0.247099,10.616368,-2.056072,4,4,10.818
2078221998,1.089243,46.507546,4.066299,5,7,46.698
2078222005,0.192602,8.073058,-0.986429,8,1,8.136
2078222010,0.201006,8.323769,-0.724748,10,1,8.358
2078222014,0.200557,8.206284,-0.428002,12,1,8.220
2078222019,0.215057,8.696016,-0.151136,14,1,8.700
2078222042,0.204910,7.825180,-2.086270,0,11,8.104
2078222047,0.238810,9.019506,-2.073347,2,5,9.260
2078222051,0.284470,10.627216,-2.058361,4,4,10.830
2078222053,1.252757,46.547277,4.070134,5,7,46.742
2078222065,0.232813,8.422598,-0.733463,10,1,8.458
2078222070,0.229871,8.229492,-0.429258,12,1,8.244
2078222074,0.242138,8.579276,-0.149111,14,1,8.584
2078222097,0.232567,7.836004,-2.089375,0,11,8.116
2078222102,0.271051,9.043940,-2.079195,2,5,9.286
2078222106,0.321208,10.614384,-2.056072,4,4,10.818
2078222109,1.415230,46.542621,4.070134,5,7,46.742
2078222116,0.251160,8.142946,-0.995204,8,1,8.208
2078222120,0.261095,8.385888,-0.730326,10,1,8.422
2078222125,0.258470,8.224647,-0.429048,12,1,8.240
2078222129,0.270943,8.542402,-0.148483,14,1,8.548
2078222153,0.259662,7.827421,-2.087305,0,11,8.108
2078222157,0.302488,9.039043,-2.078296,2,5,9.282
2078222162,0.358655,10.624971,-2.058361,4,4,10.830
2078222164,1.578361,46.557310,4.071877,5,7,46.762
2078222166,0.436506,12.820667,-2.025171,6,11,12.988
2078222171,0.278629,8.114245,-0.991791,8,1,8.180
2078222180,0.286899,8.215710,-0.428630,12,1,8.232
2078222185,0.299071,8.493442,-0.147645,14,1,8.500
2078222208,0.286276,7.807161,-2.082128,0,11,8.088
2078222212,0.334051,9.041832,-2.079195,2,5,9.286
2078222217,0.394701,10.604047,-2.054545,4,4,10.810
