# time,X,Y,Z,id,intensity,distance
2077521553,0.000000,7.810476,-2.081611,0,13,8.086
2077521558,0.002623,9.016820,-2.071997,2,5,9.254
2077521562,0.006155,10.579976,-2.048439,4,8,10.778
2077521565,0.033922,46.645808,4.077280,5,15,46.824
2077521581,0.015024,8.608173,-0.448936,12,1,8.620
2077521608,0.027223,7.798838,-2.078505,0,13,8.074
2077521613,0.034193,9.042090,-2.077846,2,5,9.280
2077521618,0.043102,10.583817,-2.049203,4,4,10.782
2077521620,0.196771,46.651383,4.077803,5,15,46.830
2077521631,0.039479,7.983407,-0.694766,10,1,8.014
2077521636,0.044905,8.576113,-0.447261,12,1,8.588
2077521664,0.054433,7.796763,-2.077987,0,13,8.072
2077521668,0.065727,9.038018,-2.076946,2,2,9.276
2077521673,0.080284,10.615013,-2.055308,4,4,10.814
2077521675,0.360120,46.716159,4.083556,5,15,46.896
2077521687,0.066876,7.927435,-0.689885,10,1,7.958
2077521691,0.074701,8.559926,-0.446424,12,1,8.572
2077521719,0.081931,7.823570,-2.085234,0,11,8.100
2077521724,0.097108,9.022144,-2.073347,2,2,9.260
2077521728,0.116989,10.583258,-2.049203,4,4,10.782
2077521731,0.522853,46.684733,4.080941,5,7,46.866
2077521737,0.187918,16.149618,-1.977958,8,1,16.272
2077521742,0.094880,7.955045,-0.692326,10,1,7.986
2077521747,0.103995,8.511683,-0.443912,12,1,8.524
2077521774,0.109078,7.811647,-2.082128,0,11,8.088
2077521779,0.128600,9.021750,-2.073347,2,2,9.260
2077521784,0.154502,10.622046,-2.056835,4,4,10.822
2077521786,0.686922,46.758326,4.087565,5,15,46.942
2077521797,0.122217,7.926775,-0.689885,10,1,7.958
2077521802,0.133204,8.479316,-0.442237,12,1,8.492
2077521830,0.136581,7.824739,-2.085752,0,13,8.102
2077521834,0.160098,9.029042,-2.075146,2,2,9.268
2077521839,0.191058,10.609670,-2.054545,4,4,10.810
2077521841,0.848254,46.745714,4.086693,5,15,46.932
2077521853,0.150661,7.998025,-0.696161,10,1,8.030
2077521857,0.161680,8.458844,-0.441190,12,1,8.472
2077521862,0.149253,7.697380,-0.133684,14,1,7.700
2077521885,0.162488,7.822312,-2.085234,0,15,8.100
2077521889,0.190285,9.040152,-2.077846,2,2,9.280
2077521894,0.226910,10.640383,-2.060651,4,4,10.842
2077521896,1.002195,46.692846,4.082336,5,7,46.882
2077521908,0.177359,8.005449,-0.696858,10,1,8.038
2077521912,0.190804,8.506184,-0.443702,12,1,8.520
2077521917,0.171509,7.552902,-0.131170,14,1,7.556
2077521940,0.188148,7.810142,-2.082128,0,18,8.088
2077521942,0.188837,7.790525,0.135324,1,1,7.794
2077521945,0.220174,9.027777,-2.075146,2,2,9.268
2077521949,0.263142,10.659187,-2.064467,4,4,10.862
2077521952,1.160861,46.740989,4.086868,5,7,46.934
2077521963,0.204167,7.980893,-0.694766,10,1,8.014
2077521968,0.213717,8.257898,-0.430723,12,1,8.272
2077521972,0.193731,7.400337,-0.128518,14,1,7.404
2077521995,0.216198,7.813281,-2.083164,0,15,8.092
2077521998,0.215264,7.737827,0.134417,1,1,7.742
2077522000,0.252909,9.042516,-2.078746,2,2,9.284
2077522002,0.229151,8.149591,0.425071,3,2,8.164
2077522005,0.300612,10.634628,-2.059888,4,4,10.838
2077522007,1.329900,46.800267,4.092446,5,7,46.998
2077522018,0.232720,7.980112,-0.694766,10,1,8.014
2077522023,0.242791,8.241110,-0.429886,12,1,8.256
2077522028,0.219494,7.375611,-0.128099,14,1,7.380
2077522051,0.244634,7.827905,-2.087305,0,15,8.108
2077522053,0.240786,7.669052,0.133230,1,1,7.674
2077522055,0.284827,9.029868,-2.076046,2,2,9.272
2077522060,0.340629,10.700206,-2.072863,4,4,10.906
2077522062,1.496361,46.791253,4.092097,5,7,46.994
2077522074,0.260460,7.963307,-0.693372,10,1,7.998
2077522078,0.262562,7.956744,-0.415022,12,1,7.972
2077522083,0.242978,7.298844,-0.126772,14,1,7.304
2077522106,0.271488,7.813489,-2.083681,0,13,8.094
2077522108,0.264905,7.592223,0.131903,1,1,7.598
2077522111,0.317573,9.063875,-2.084144,2,2,9.308
2077522113,0.286662,8.147770,0.425071,3,2,8.164
2077522115,0.376453,10.655787,-2.064467,4,4,10.862
2077522118,1.660108,46.797692,4.093143,5,7,47.006
2077522134,0.286693,7.855982,-0.409789,12,1,7.872
