# time,X,Y,Z,id,intensity,distance
2062572005,-0.117579,-8.748566,-2.333183,0,9,9.058
2062572009,-0.140492,-10.231870,-2.352736,2,10,10.502
2062572014,-0.173163,-12.349619,-2.392659,4,12,12.582
2062572023,-0.283024,-19.380375,-2.374765,8,19,19.528
2062572028,-0.312600,-20.987494,-1.832671,10,21,21.070
2062572032,-0.437118,-28.785173,-1.506541,12,28,28.828
2062572037,-0.554093,-35.802258,-0.624306,14,35,35.812
2062572060,-0.147855,-8.732650,-2.329042,0,9,9.042
2062572064,-0.176240,-10.233266,-2.353186,2,10,10.504
2062572069,-0.216545,-12.364643,-2.395712,4,12,12.598
2062572078,-0.350744,-19.383238,-2.375252,8,19,19.532
2062572083,-0.384649,-20.920538,-1.826919,10,21,21.004
2062572087,-0.537818,-28.795454,-1.507169,12,28,28.840
2062572092,-0.605112,-31.901401,-0.556241,14,31,31.912
2062572115,-0.178653,-8.747532,-2.333183,0,9,9.058
2062572120,-0.211805,-10.228693,-2.352286,2,10,10.500
2062572124,-0.259442,-12.359890,-2.394948,4,12,12.594
2062572134,-0.416854,-19.336262,-2.369646,8,19,19.486
2062572138,-0.456521,-20.901157,-1.825350,10,20,20.986
2062572143,-0.637118,-28.795426,-1.507274,12,28,28.842
2062572147,-0.716050,-31.953109,-0.557184,14,31,31.966
2062572170,-0.208653,-8.756530,-2.335771,0,9,9.068
2062572175,-0.246475,-10.222068,-2.350936,2,10,10.494
2062572180,-0.301698,-12.366786,-2.396475,4,12,12.602
2062572184,-0.391892,-15.879169,-2.509179,6,16,16.082
2062572189,-0.482363,-19.322824,-2.368184,8,19,19.474
2062572193,-0.527050,-20.875581,-1.823259,10,20,20.962
2062572198,-0.735320,-28.801077,-1.507692,12,28,28.850
2062572203,-0.824073,-31.922501,-0.556695,14,31,31.938
2062572226,-0.238664,-8.763494,-2.337842,0,9,9.076
2062572230,-0.282088,-10.248440,-2.357235,2,10,10.522
2062572235,-0.343856,-12.361758,-2.395712,4,12,12.598
2062572244,-0.548009,-19.297243,-2.365259,8,19,19.450
2062572249,-0.599425,-20.893560,-1.825002,10,20,20.982
2062572253,-0.835635,-28.834307,-1.509576,12,28,28.886
2062572258,-0.932816,-31.867494,-0.555787,14,31,31.886
2062572281,-0.269134,-8.758745,-2.336806,0,9,9.072
2062572286,-0.317316,-10.229863,-2.353186,2,10,10.504
2062572290,-0.387250,-12.368331,-2.397238,4,12,12.606
2062572299,-0.616885,-19.342830,-2.371108,8,19,19.498
2062572304,-0.672481,-20.895323,-1.825350,10,20,20.986
2062572309,-0.936540,-28.839199,-1.509995,12,28,28.894
2062572313,-1.043852,-31.858048,-0.555683,14,31,31.880
2062572336,-0.299574,-8.753891,-2.335771,0,9,9.068
2062572341,-0.353897,-10.254012,-2.359035,2,10,10.530
2062572345,-0.429738,-12.347284,-2.393422,4,12,12.586
2062572355,-0.684961,-19.356430,-2.373058,8,19,19.514
2062572359,-0.746978,-20.936653,-1.829185,10,21,21.030
2062572364,-1.036627,-28.819786,-1.509158,12,28,28.878
2062572392,-0.330202,-8.754722,-2.336289,0,9,9.070
2062572396,-0.389540,-10.248819,-2.358135,2,10,10.526
2062572401,-0.473737,-12.369250,-2.398001,4,12,12.610
2062572410,-0.750750,-19.308299,-2.367452,8,19,19.468
2062572415,-0.819432,-20.917991,-1.827791,10,21,21.014
2062572419,-1.124698,-28.498675,-1.492515,12,28,28.560
2062572447,-0.360998,-8.759307,-2.337842,0,9,9.076
2062572451,-0.424747,-10.233767,-2.354985,2,10,10.512
2062572456,-0.517075,-12.371444,-2.398765,4,12,12.614
2062572465,-0.817892,-19.299610,-2.366721,8,19,19.462
2062572470,-0.890152,-20.861258,-1.823084,10,20,20.960
2062572475,-1.227856,-28.580379,-1.497016,12,28,28.646
2062572502,-0.392089,-8.769573,-2.340947,0,9,9.088
2062572507,-0.460642,-10.236116,-2.355885,2,10,10.516
2062572511,-0.560079,-12.365641,-2.398001,4,12,12.610
2062572516,-0.722056,-15.839900,-2.504799,6,16,16.054
2062572521,-0.886256,-19.318451,-2.369402,8,19,19.484
2062572525,-0.963609,-20.871956,-1.824305,10,20,20.974
2062572530,-1.332896,-28.689640,-1.502982,12,28,28.760
2062572557,-0.422512,-8.764292,-2.339912,0,9,9.084
2062572562,-0.496107,-10.230556,-2.354985,2,10,10.512
2062572567,-0.603251,-12.367542,-2.398765,4,12,12.614
2062572576,-0.956351,-19.380696,-2.377446,8,19,19.550
2062572581,-1.032935,-20.812784,-1.819424,10,20,20.918
2062572585,-1.438652,-28.822514,-1.510204,12,28,28.898
2062572613,-0.451342,-8.743510,-2.334736,0,9,9.064
2062572617,-0.532337,-10.256054,-2.361284,2,10,10.540
2062572622,-0.645032,-12.359535,-2.397620,4,12,12.608
2062572631,-1.021783,-19.367417,-2.376227,8,19,19.540
2062572636,-1.110095,-20.928524,-1.829883,10,21,21.038
2062572640,-1.553755,-29.136559,-1.526952,12,29,29.218
2062572668,-0.481522,-8.749639,-2.336806,0,9,9.072
2062572673,-0.566668,-10.242505,-2.358585,2,10,10.528
2062572677,-0.686509,-12.343537,-2.394948,4,12,12.594
2062572682,-0.892182,-15.957852,-2.524823,6,16,16.182
2062572686,-1.086027,-19.324156,-2.371352,8,19,19.500
2062572691,-1.184550,-20.968344,-1.833717,10,21,21.082
2062572696,-1.630628,-28.716268,-1.505180,12,28,28.802
2062572723,-0.512625,-8.757548,-2.339395,0,9,9.082
2062572728,-0.602532,-10.242409,-2.359035,2,10,10.530
2062572733,-0.730751,-12.360663,-2.398765,4,12,12.614
2062572737,-0.936165,-15.757450,-2.493536,6,15,15.982
2062572742,-1.152291,-19.300432,-2.368915,8,19,19.480
2062572746,-1.259764,-20.997892,-1.836681,10,21,21.116
2062572751,-1.749366,-29.017422,-1.521300,12,29,29.110
2062572779,-0.544029,-8.769202,-2.343018,0,9,9.096
2062572783,-0.638206,-10.240248,-2.359035,2,10,10.530
2062572788,-0.774449,-12.369805,-2.401054,4,12,12.626
2062572792,-0.997019,-15.852682,-2.509179,6,16,16.082
2062572797,-1.218468,-19.286422,-2.367696,8,19,19.470
2062572802,-1.329387,-20.947682,-1.832671,10,21,21.070
2062572806,-1.924980,-30.197181,-1.583579,12,30,30.300
2062572834,-0.574123,-8.771155,-2.344053,0,9,9.100
2062572839,-0.672798,-10.234128,-2.358135,2,10,10.526
2062572843,-0.814992,-12.343590,-2.396475,4,12,12.602
2062572852,-1.285815,-19.307913,-2.370865,8,19,19.496
2062572857,-1.398678,-20.913217,-1.830057,10,21,21.040
2062572862,-2.055849,-30.608936,-1.605561,12,30,30.720
2062572889,-0.602644,-8.749878,-2.338877,0,9,9.080
2062572894,-0.709507,-10.258996,-2.364433,2,10,10.554
2062572898,-0.858629,-12.364247,-2.401054,4,12,12.626
2062572903,-1.104901,-15.845529,-2.509179,6,16,16.082
2062572908,-1.357343,-19.386595,-2.381102,8,19,19.580
2062572912,-1.463698,-20.820886,-1.822387,10,20,20.952
2062572917,-2.173652,-30.795016,-1.615714,12,30,30.914
2062572945,-0.632698,-8.751630,-2.339912,0,9,9.084
2062572949,-0.743995,-10.250691,-2.363084,2,10,10.548
2062572954,-0.900990,-12.365169,-2.401818,4,12,12.630
2062572958,-1.158823,-15.841676,-2.509179,6,16,16.082
2062572963,-1.420262,-19.340288,-2.375983,8,19,19.538
2062572968,-1.538799,-20.873407,-1.827442,10,21,21.010
2062572972,-2.305422,-31.151941,-1.634869,12,31,31.280
2062573000,-0.663355,-8.760984,-2.343018,0,9,9.096
2062573004,-0.778214,-10.238378,-2.360834,2,10,10.538
2062573009,-0.942949,-12.358103,-2.401054,4,12,12.626
2062573014,-1.213077,-15.837614,-2.509179,6,16,16.082
2062573018,-1.464268,-19.044349,-2.340154,8,19,19.244
2062573023,-1.614269,-20.915666,-1.831626,10,21,21.058
2062573027,-2.428217,-31.342938,-1.645336,12,31,31.480
2062573055,-0.694238,-8.762466,-2.344053,0,9,9.100
2062573060,-0.814257,-10.239485,-2.361734,2,10,10.542
2062573064,-0.987018,-12.366478,-2.403344,4,12,12.638
2062573069,-1.260466,-15.734830,-2.493536,6,15,15.982
2062573074,-1.525487,-18.973825,-2.332110,8,19,19.178
2062573078,-1.689832,-20.941679,-1.834415,10,21,21.090
2062573083,-2.557923,-31.585105,-1.658525,12,31,31.732
2062573110,-0.725139,-8.763840,-2.345089,0,9,9.104
2062573115,-0.851446,-10.254059,-2.365783,2,10,10.560
2062573120,-1.028875,-12.347305,-2.400291,4,12,12.622
2062573124,-1.323614,-15.828759,-2.509179,6,16,16.082
2062573129,-1.596522,-19.025750,-2.339179,8,19,19.236
2062573133,-1.759411,-20.893960,-1.830754,10,21,21.048
2062573138,-2.708688,-32.055614,-1.683750,12,32,32.214
2062573166,-0.755062,-8.753557,-2.343018,0,9,9.096
2062573170,-0.887402,-10.252966,-2.366233,2,10,10.562
2062573175,-1.073668,-12.363198,-2.404107,4,12,12.642
2062573184,-1.678485,-19.198041,-2.361115,8,19,19.416
2062573189,-1.831290,-20.875782,-1.829708,10,21,21.036
2062573221,-0.785958,-8.754716,-2.344053,0,9,9.100
2062573226,-0.922662,-10.243983,-2.364883,2,10,10.556
2062573230,-1.116993,-12.361330,-2.404489,4,12,12.644
2062573235,-1.425169,-15.720768,-2.493536,6,15,15.982
2062573239,-1.744051,-19.176249,-2.359165,8,19,19.400
2062573244,-1.908855,-20.920851,-1.834240,10,21,21.088
2062573249,-3.048200,-33.300891,-1.750322,12,33,33.486
2062573276,-0.815795,-8.744225,-2.341983,0,9,9.092
2062573281,-0.958414,-10.240700,-2.364883,2,10,10.556
2062573286,-1.159952,-12.355401,-2.404107,4,12,12.642
2062573295,-1.812658,-19.187831,-2.361359,8,19,19.418
2062573299,-1.983563,-20.931912,-1.835809,10,21,21.106
2062573304,-3.626339,-38.149444,-2.006140,12,38,38.374
2062572005,-0.117579,-8.748566,-2.333183,0,17,9.058
2062572009,-0.140492,-10.231870,-2.352736,2,11,10.502
2062572014,-0.173163,-12.349619,-2.392659,4,11,12.582
2062572023,-0.283024,-19.380375,-2.374765,8,37,19.528
2062572028,-0.312600,-20.987494,-1.832671,10,60,21.070
2062572032,-0.437118,-28.785173,-1.506541,12,15,28.828
2062572037,-0.554093,-35.802258,-0.624306,14,7,35.812
