# time,X,Y,Z,id,intensity,distance
2104721551,0.001323,8.271191,-1.599657,4,100,8.426
2104721553,0.016369,52.963685,4.630022,5,11,53.166
2104721555,0.003782,8.255098,-1.300879,6,90,8.358
2104721560,0.006250,8.263937,-1.009584,8,28,8.326
2104721564,0.023257,22.055738,-1.925928,10,4,22.140
2104721569,0.038235,28.267182,-1.479222,12,99,28.306
2104721597,0.024379,7.760210,-2.068152,0,15,8.034
2104721601,0.028408,8.276251,-1.901034,2,86,8.494
2104721606,0.030760,8.261317,-1.597749,4,100,8.416
2104721608,0.205091,53.011108,4.634206,5,11,53.214
2104721610,0.033162,8.260959,-1.301818,6,84,8.364
2104721615,0.035569,8.261878,-1.009340,8,30,8.324
2104721620,0.101277,22.035594,-1.924185,10,6,22.120
2104721624,0.138100,28.258881,-1.478803,12,99,28.298
2104721652,0.051378,7.746555,-2.064529,0,13,8.020
2104721657,0.057311,8.278050,-1.901484,2,94,8.496
2104721661,0.059654,8.269012,-1.599275,4,97,8.424
2104721666,0.061998,8.260793,-1.301818,6,78,8.364
2104721670,0.064377,8.257733,-1.008853,8,30,8.320
2104721675,0.178195,22.035106,-1.924185,10,6,22.120
2104721680,0.236724,28.256230,-1.478698,12,22,28.296
2104721707,0.078457,7.750192,-2.065564,0,15,8.024
2104721712,0.086328,8.289491,-1.904184,2,89,8.508
2104721716,0.088560,8.272680,-1.600038,4,93,8.428
2104721721,0.090898,8.266452,-1.302756,6,84,8.370
2104721726,0.093336,8.269368,-1.010315,8,31,8.332
2104721730,0.254649,21.994505,-1.920699,10,6,22.080
2104721735,0.335569,28.273205,-1.479640,12,74,28.314
2104721763,0.105431,7.744076,-2.064011,0,13,8.018
2104721767,0.115263,8.289139,-1.904184,2,89,8.508
2104721772,0.117381,8.268394,-1.599275,4,97,8.424
2104721776,0.119638,8.258183,-1.301505,6,96,8.362
2104721781,0.122201,8.268992,-1.010315,8,35,8.332
2104721786,0.331663,22.009419,-1.922093,10,6,22.096
2104721790,0.434167,28.265871,-1.479326,12,92,28.308
2104721818,0.132594,7.751387,-2.066082,0,15,8.026
2104721822,0.143866,8.273100,-1.900584,2,94,8.492
2104721827,0.146295,8.277751,-1.601183,4,100,8.434
2104721832,0.148142,8.249818,-1.300254,6,90,8.354
2104721836,0.150570,8.254626,-1.008609,8,33,8.318
2104721841,0.407098,21.976270,-1.919304,10,6,22.064
2104721845,0.531560,28.262209,-1.479222,12,94,28.306
2104721873,0.159173,7.760548,-2.068670,0,15,8.036
2104721878,0.172062,8.274511,-1.901034,2,94,8.494
2104721882,0.174384,8.273280,-1.600420,4,100,8.430
2104721887,0.176303,8.253216,-1.300879,6,84,8.358
2104721892,0.178620,8.252081,-1.008365,8,37,8.316
2104721896,0.482151,21.986708,-1.920350,10,6,22.076
2104721901,0.627744,28.260236,-1.479222,12,94,28.306
2104721905,1.133465,50.383575,-0.878971,14,14,50.404
2104721928,0.185214,7.744511,-2.064529,0,15,8.020
2104721933,0.200566,8.285565,-1.903734,2,89,8.506
2104721938,0.202564,8.268710,-1.599657,4,100,8.426
2104721942,0.204718,8.258488,-1.301818,6,78,8.364
2104721947,0.206845,8.247450,-1.007878,8,37,8.312
2104721951,0.557272,21.965002,-1.918607,10,6,22.056
2104721956,0.725307,28.263895,-1.479536,12,100,28.312
2104721961,1.306927,50.357370,-0.878587,14,84,50.382
2104721984,0.211717,7.724506,-2.059352,0,14,8.000
2104721988,0.229486,8.284814,-1.903734,2,94,8.506
2104721993,0.231371,8.265990,-1.599275,4,97,8.424
2104721998,0.233432,8.253774,-1.301192,6,78,8.360
2104722002,0.235632,8.246678,-1.007878,8,37,8.312
2104722007,0.633711,21.954957,-1.917910,10,6,22.048
2104722016,1.482817,50.356499,-0.878657,14,84,50.386
2104722039,0.238978,7.733374,-2.061941,0,18,8.010
2104722044,0.258404,8.283963,-1.903734,2,89,8.506
2104722048,0.260471,8.272981,-1.600801,4,97,8.432
2104722053,0.262054,8.246986,-1.300254,6,96,8.354
2104722057,0.264862,8.259694,-1.009584,8,39,8.326
2104722062,0.710602,21.960576,-1.918607,10,6,22.056
2104722067,1.137487,34.839598,-1.824639,12,6,34.906
2104722071,1.658519,50.349017,-0.878622,14,70,50.384
2104722094,0.266502,7.747939,-2.066082,0,13,8.026
2104722099,0.287049,8.275220,-1.901934,2,94,8.498
2104722104,0.289759,8.283794,-1.603091,4,100,8.444
2104722108,0.290770,8.244047,-1.299941,6,78,8.352
2104722113,0.293551,8.254751,-1.009097,8,43,8.322
2104722117,0.657330,18.334142,-1.601360,10,80,18.416
2104722122,0.661469,18.300918,-0.957537,12,71,18.338
2104722127,1.835061,50.364903,-0.879006,14,84,50.406
2104722150,0.292888,7.729587,-2.061423,0,13,8.008
2104722154,0.315933,8.274167,-1.901934,2,94,8.498
2104722159,0.318145,8.268999,-1.600420,4,100,8.430
2104722163,0.319622,8.244956,-1.300254,6,90,8.354
2104722168,0.321977,8.243758,-1.007878,8,46,8.312
2104722173,0.721167,18.327754,-1.601012,10,94,18.412
2104722177,0.726059,18.316459,-0.958479,12,100,18.356
2104722182,2.010856,50.358191,-0.879006,14,84,50.406
