# time,X,Y,Z,id,intensity,distance
2069221693,0.000000,12.729327,-2.009527,6,11,12.888
2069221698,0.004630,15.918455,-1.949441,8,7,16.038
2069221702,0.012430,21.366380,-1.865616,10,6,21.448
2069221707,0.028000,32.085955,-1.679354,12,77,32.130
2069221735,0.020372,7.781472,-2.073846,0,15,8.056
2069221739,0.026104,8.973910,-2.062099,2,5,9.210
2069221744,0.033709,10.534769,-2.039662,4,8,10.732
2069221746,0.162072,48.448662,4.235032,5,41,48.634
2069221748,0.044089,12.630482,-1.993884,6,11,12.788
2069221753,0.060339,15.956058,-1.954072,8,7,16.076
2069221758,0.087062,21.378161,-1.866662,10,6,21.460
2069221762,0.140018,32.089656,-1.679564,12,99,32.134
2069221790,0.047534,7.781353,-2.073846,0,15,8.056
2069221794,0.057404,8.969867,-2.061199,2,5,9.206
2069221799,0.070613,10.554219,-2.043478,4,8,10.752
2069221801,0.331461,48.487648,4.238519,5,59,48.674
2069221804,0.088177,12.630251,-1.993884,6,11,12.788
2069221808,0.115891,15.935900,-1.951634,8,7,16.056
2069221813,0.161685,21.377727,-1.866662,10,6,21.460
2069221817,0.251906,32.072994,-1.678726,12,93,32.118
2069221845,0.074826,7.794662,-2.077470,0,15,8.070
2069221850,0.088656,8.963766,-2.059850,2,8,9.200
2069221854,0.107214,10.530351,-2.038899,4,8,10.728
2069221857,0.500897,48.504126,4.240087,5,51,48.692
2069221859,0.133009,12.700976,-2.005147,6,11,12.860
2069221864,0.171410,15.925473,-1.950415,8,7,16.046
2069221868,0.236702,21.412893,-1.869800,10,6,21.496
2069221873,0.363860,32.071919,-1.678726,12,93,32.118
2069221900,0.101933,7.786627,-2.075399,0,15,8.062
2069221905,0.119867,8.967301,-2.060750,2,5,9.204
2069221910,0.143933,10.549547,-2.042715,4,8,10.748
2069221912,0.668744,48.524021,4.242005,5,34,48.714
2069221919,0.226242,15.936700,-1.951878,8,7,16.058
2069221923,0.310177,21.431881,-1.871543,10,4,21.516
2069221956,0.127722,7.784314,-2.074882,0,15,8.060
2069221960,0.149603,8.966854,-2.060750,2,5,9.204
2069221965,0.178716,10.537234,-2.040425,4,8,10.736
2069221967,0.829549,48.515560,4.241482,5,59,48.708
2069221974,0.279019,15.931893,-1.951390,8,6,16.054
2069221979,0.380750,21.402845,-1.869103,10,6,21.488
2069221983,0.609843,33.756159,-1.767174,12,3,33.808
2069222011,0.153306,7.772259,-2.071776,0,15,8.048
2069222016,0.179337,8.966309,-2.060750,2,5,9.204
2069222020,0.213498,10.528732,-2.038899,4,8,10.728
2069222023,0.990428,48.512542,4.241482,5,51,48.708
2069222029,0.332594,15.966604,-1.955778,8,6,16.090
2069222034,0.452563,21.441304,-1.872589,10,6,21.528
2069222039,0.721950,33.761938,-1.767593,12,3,33.816
