# time,X,Y,Z,id,intensity,distance
2078921702,0.000000,7.800817,-2.079023,0,15,8.076
2078921707,0.002622,9.014871,-2.071547,2,5,9.252
2078921712,0.006187,10.634947,-2.059125,4,4,10.834
2078921714,0.033709,46.352927,4.051657,5,60,46.530
2078921721,0.018631,16.011744,-1.960896,8,4,16.132
2078921725,0.011241,7.728470,-0.672454,10,1,7.758
2078921730,0.014313,8.200733,-0.427583,12,1,8.212
2078921758,0.027257,7.808497,-2.081093,0,15,8.084
2078921762,0.034120,9.022602,-2.073347,2,5,9.260
2078921767,0.043534,10.689831,-2.069810,4,4,10.890
2078921769,0.195586,46.370458,4.053226,5,67,46.548
2078921776,0.074466,15.999671,-1.959434,8,3,16.120
2078921781,0.038218,7.728384,-0.672454,10,1,7.758
2078921785,0.042918,8.196639,-0.427374,12,1,8.208
2078921813,0.054500,7.806422,-2.080576,0,15,8.082
2078921818,0.065501,9.006839,-2.069748,2,5,9.244
2078921822,0.080640,10.662130,-2.064467,4,4,10.862
2078921825,0.357494,46.375470,4.053748,5,60,46.554
2078921831,0.130493,16.021149,-1.962115,8,3,16.142
2078921841,0.071320,8.172473,-0.426117,12,1,8.184
2078921868,0.081891,7.819707,-2.084199,0,18,8.096
2078921873,0.097024,9.014350,-2.071547,2,2,9.252
2078921878,0.117293,10.610742,-2.054545,4,4,10.810
2078921880,0.519573,46.391870,4.055317,5,67,46.572
2078921887,0.186255,16.006701,-1.960409,8,1,16.128
2078921891,0.092171,7.727929,-0.672454,10,1,7.758
2078921896,0.099945,8.180163,-0.426536,12,1,8.192
2078921924,0.110496,7.815491,-2.083164,0,15,8.092
2078921928,0.130109,9.021729,-2.073347,2,2,9.260
2078921933,0.155336,10.563130,-2.045386,4,4,10.762
2078921935,0.689057,46.409588,4.057060,5,75,46.592
2078921942,0.244759,16.025766,-1.962846,8,1,16.148
2078921947,0.120214,7.727543,-0.672454,10,1,7.758
2078921951,0.130328,8.227675,-0.429048,12,1,8.240
2078921979,0.136722,7.793822,-2.077470,0,13,8.070
2078921983,0.160813,9.021234,-2.073347,2,2,9.260
2078921988,0.191641,10.582169,-2.049203,4,4,10.782
2078921990,0.846821,46.397014,4.056189,5,75,46.582
2078921997,0.299744,16.048657,-1.965771,8,1,16.172
2078922002,0.146513,7.727090,-0.672454,10,1,7.758
2078922006,0.157714,8.195234,-0.427374,12,1,8.208
2078922034,0.163570,7.808763,-2.081611,0,13,8.086
2078922039,0.191746,9.028426,-2.075146,2,2,9.268
2078922043,0.228400,10.608932,-2.054545,4,4,10.810
2078922046,1.005782,46.403805,4.057060,5,22,46.592
2078922053,0.354565,16.035626,-1.964309,8,1,16.160
2078922057,0.173091,7.726540,-0.672454,10,1,7.758
2078922062,0.186053,8.198635,-0.427583,12,1,8.212
2078922089,0.190874,7.810076,-2.082128,0,15,8.088
2078922094,0.223549,9.039390,-2.077846,2,2,9.280
2078922099,0.265726,10.619845,-2.056835,4,4,10.822
2078922108,0.410538,16.034291,-1.964309,8,1,16.160
2078922112,0.200061,7.725889,-0.672454,10,1,7.758
2078922117,0.211429,8.074148,-0.421093,12,1,8.088
2078922145,0.218459,7.820949,-2.085234,0,15,8.100
2078922149,0.255101,9.038555,-2.077846,2,2,9.280
2078922154,0.303913,10.658102,-2.064467,4,4,10.862
2078922163,0.467776,16.076414,-1.969671,8,1,16.204
2078922168,0.227028,7.725143,-0.672454,10,1,7.758
2078922172,0.238190,8.025448,-0.418581,12,1,8.040
2078922177,0.242615,8.095132,-0.140664,14,1,8.100
2078922200,0.245576,7.814346,-2.083681,0,13,8.094
2078922205,0.286650,9.037609,-2.077846,2,2,9.280
2078922209,0.340236,10.629505,-2.059125,4,4,10.834
2078922218,0.524537,16.094523,-1.972108,8,1,16.224
2078922223,0.253992,7.724304,-0.672454,10,1,7.758
2078922228,0.265275,7.996621,-0.417116,12,1,8.012
2078922232,0.269533,8.054264,-0.139966,14,1,8.060
2078922255,0.272784,7.811510,-2.083164,0,13,8.092
2078922260,0.318130,9.036556,-2.077846,2,2,9.280
2078922278,0.277778,7.643737,-0.665482,10,1,7.678
2078922283,0.291376,7.955741,-0.415022,12,1,7.972
2078922288,0.296498,8.033306,-0.139617,14,1,8.040
2078922311,0.299294,7.808606,-2.082646,0,15,8.090
2078922315,0.348883,9.035421,-2.077846,2,2,9.280
2078922334,0.305374,7.682564,-0.668968,10,1,7.718
2078922338,0.315894,7.890842,-0.411673,12,1,7.908
2078922343,0.323354,8.020262,-0.139408,14,1,8.028
2078922366,0.326029,7.811403,-2.083681,0,13,8.094
2078922370,0.379632,9.034181,-2.077846,2,2,9.280
2078922375,0.454829,10.750981,-2.083548,4,4,10.962
2078922389,0.331519,7.681480,-0.668968,10,1,7.718
2078922394,0.339454,7.813897,-0.407695,12,1,7.832
2078922398,0.351696,8.043088,-0.139827,14,1,8.052
2078922421,0.352874,7.816038,-2.085234,0,13,8.100
2078922426,0.411438,9.056198,-2.083245,2,2,9.304
2078922444,0.359514,7.720112,-0.672454,10,1,7.758
2078922449,0.365485,7.800726,-0.407067,12,1,7.820
2078922453,0.375490,7.965940,-0.138500,14,1,7.976
2078922476,0.379847,7.822510,-2.087305,0,13,8.108
2078922481,0.441438,9.035274,-2.078746,2,2,9.284
2078922500,0.382364,7.639220,-0.665482,10,1,7.678
2078922504,0.392913,7.803392,-0.407277,12,1,7.824
2078922509,0.401994,7.936615,-0.138012,14,1,7.948
2078922532,0.407632,7.817242,-2.086270,0,13,8.104
2078922536,0.474170,9.041421,-2.080545,2,2,9.292
2078922541,0.563038,10.675082,-2.069810,4,4,10.890
2078922550,0.406030,7.611933,-0.930857,8,1,7.680
2078922555,0.413962,7.717384,-0.672454,10,1,7.758
2078922559,0.419755,7.781992,-0.406230,12,1,7.804
2078922564,0.427788,7.887204,-0.137174,14,1,7.900
2078922587,0.434739,7.800303,-2.082128,0,11,8.088
2078922589,0.482277,8.631220,0.150194,1,1,8.646
2078922592,0.506167,9.035783,-2.079645,2,2,9.288
2078922610,0.438055,7.664168,-0.667922,10,1,7.706
2078922615,0.446229,7.768516,-0.405602,12,1,7.792
2078922619,0.453589,7.857720,-0.136685,14,1,7.872
2078922642,0.462425,7.818063,-2.087305,0,11,8.108
2078922645,0.508572,8.577628,0.149286,1,1,8.594
2078922647,0.537148,9.037899,-2.080545,2,2,9.292
2078922652,0.632792,10.596439,-2.055308,4,4,10.814
2078922665,0.467268,7.714340,-0.672454,10,1,7.758
2078922670,0.470240,7.727081,-0.403508,12,1,7.752
2078922675,0.479353,7.840163,-0.136406,14,1,7.856
2078922698,0.488789,7.812587,-2.086270,0,11,8.104
2078922700,0.537825,8.575843,0.149286,1,1,8.594
2078922702,0.568525,9.043789,-2.082345,2,2,9.300
2078922707,0.667676,10.570692,-2.050729,4,4,10.790
2078922721,0.494081,7.712669,-0.672454,10,1,7.758
2078922725,0.494644,7.685530,-0.401415,12,1,7.712
2078922730,0.506057,7.826462,-0.136197,14,1,7.844
2078922753,0.516738,7.810789,-2.086270,0,11,8.104
2078922755,0.568505,8.573864,0.149286,1,1,8.594
2078922758,0.600621,9.037809,-2.081445,2,2,9.296
2078922760,3.083185,46.289768,2.429119,3,8,46.456
2078922762,0.711508,10.658345,-2.068283,4,4,10.882
2078922764,3.096485,46.281347,4.054446,5,7,46.562
2078922769,3.110739,46.287196,5.691073,7,10,46.740
2078922776,0.525439,7.766512,-0.677335,10,1,7.814
2078922781,0.518618,7.631901,-0.398693,12,1,7.660
2078922785,0.532967,7.808640,-0.135917,14,1,7.828
2078922808,0.544950,7.812744,-2.087305,0,11,8.108
2078922811,0.599146,8.571777,0.149286,1,1,8.594
2078922813,0.632888,9.035606,-2.081445,2,2,9.296
2078922817,0.744799,10.589156,-2.055308,4,4,10.814
2078922831,0.553507,7.772551,-0.678032,10,1,7.822
2078922836,0.545873,7.634005,-0.398903,12,1,7.664
2078922840,0.557641,7.766821,-0.135219,14,1,7.788
2078922864,0.571654,7.803088,-2.085234,0,11,8.100
2078922868,0.664138,9.029455,-2.080545,2,2,9.292
2078922873,0.785228,10.633481,-2.064467,4,4,10.862
2078922887,0.575885,7.706993,-0.672454,10,1,7.758
2078922891,0.575207,7.667903,-0.400787,12,1,7.700
2078922896,0.587152,7.796732,-0.135778,14,1,7.820
2078922919,0.599627,7.810675,-2.087822,0,11,8.110
2078922923,0.693257,8.995994,-2.073347,2,2,9.260
2078922928,0.829912,10.728546,-2.083548,4,4,10.962
2078922942,0.607756,7.768498,-0.678032,10,1,7.822
2078922946,0.599780,7.637973,-0.399321,12,1,7.672
2078922951,0.614992,7.802609,-0.135917,14,1,7.828
2078922974,0.626888,7.808535,-2.087822,0,11,8.110
2078922979,0.727159,9.024599,-2.080545,2,2,9.292
2078922983,0.867356,10.725584,-2.083548,4,4,10.962
2078922997,0.629675,7.702784,-0.672454,10,1,7.758
2078923002,0.627744,7.651757,-0.400159,12,1,7.688
2078923006,0.658633,7.999710,-0.139408,14,1,8.028
2078923029,0.653012,7.792823,-2.084199,0,11,8.096
2078923034,0.758851,9.025900,-2.081445,2,2,9.296
2078923052,0.660734,7.756173,-0.677335,10,1,7.814
2078923057,0.651402,7.621716,-0.398693,12,1,7.660
2078923062,0.680614,7.937660,-0.138361,14,1,7.968
2078923085,0.679521,7.798313,-2.086270,0,11,8.104
2078923087,0.747097,8.560151,0.149286,1,1,8.594
2078923089,0.788778,9.023334,-2.081445,2,2,9.296
2078923094,0.940031,10.719459,-2.083548,4,4,10.962
2078923108,0.681531,7.698370,-0.672454,10,1,7.758
2078923112,0.680206,7.659303,-0.400787,12,1,7.700
2078923117,0.705868,7.923409,-0.138151,14,1,7.956
2078923140,0.704681,7.788321,-2.084199,0,11,8.096
2078923145,0.818344,9.016787,-2.080545,2,2,9.292
2078923149,0.975572,10.716282,-2.083548,4,4,10.962
2078923158,0.677542,7.397251,-0.906970,8,1,7.484
2078923163,0.707056,7.696067,-0.672454,10,1,7.758
2078923168,0.704868,7.649050,-0.400368,12,1,7.692
2078923172,0.730666,7.905095,-0.137872,14,1,7.940
2078923195,0.732128,7.803252,-2.088858,0,11,8.114
2078923200,0.848240,9.014024,-2.080545,2,2,9.292
2078923205,1.011104,10.712988,-2.083548,4,4,10.962
2078923218,0.732574,7.693680,-0.672454,10,1,7.758
2078923223,0.724534,7.587024,-0.397228,12,1,7.632
2078923228,0.750395,7.834948,-0.136685,14,1,7.872
2078923251,0.763635,7.802173,-2.089375,0,11,8.116
2078923255,0.883407,8.998897,-2.077846,2,17,9.280
2078923260,0.900511,9.145768,-1.778254,4,4,9.362
2078923278,0.752081,7.548215,-0.395344,12,1,7.596
