# time,X,Y,Z,id,intensity,distance
2064021589,0.003394,7.779566,-2.073329,0,15,8.054
2064021593,0.006590,8.971997,-2.061649,2,8,9.208
2064021598,0.010883,10.538744,-2.040425,4,12,10.736
2064021600,0.057051,48.277554,4.220042,5,8,48.462
2064021602,0.016940,12.729316,-2.009527,6,11,12.888
2064021607,0.025963,15.938285,-1.951878,8,7,16.058
2064021612,0.041199,21.378299,-1.866662,10,6,21.460
2064021616,0.071383,32.077898,-1.678936,12,100,32.122
2064021644,0.031237,7.781436,-2.073846,0,13,8.056
2064021648,0.038617,8.969968,-2.061199,2,5,9.206
2064021653,0.048400,10.530785,-2.038899,4,8,10.728
2064021655,0.229785,48.462335,4.236253,5,51,48.648
2064021658,0.061724,12.630408,-1.993884,6,11,12.788
2064021662,0.082505,15.934122,-1.951390,8,7,16.054
2064021667,0.117020,21.397942,-1.868405,10,4,21.480
2064021672,0.184847,32.093424,-1.679773,12,93,32.138
2064021699,0.058399,7.781279,-2.073846,0,13,8.056
2064021704,0.070065,8.987316,-2.065249,2,5,9.224
2064021708,0.085350,10.554110,-2.043478,4,12,10.752
2064021711,0.399293,48.503076,4.239913,5,59,48.690
2064021713,0.105812,12.630115,-1.993884,6,11,12.788
2064021718,0.138193,15.941677,-1.952365,8,6,16.062
2064021722,0.191926,21.421311,-1.870497,10,6,21.504
2064021727,0.296688,32.072611,-1.678726,12,93,32.118
2064021754,0.085709,7.794550,-2.077470,0,15,8.070
2064021759,0.101195,8.971429,-2.061649,2,8,9.208
2064021764,0.121900,10.541971,-2.041189,4,12,10.740
2064021766,0.567366,48.471514,4.237298,5,17,48.660
2064021768,0.149623,12.629672,-1.993884,6,11,12.788
2064021773,0.193352,15.939118,-1.952122,8,7,16.060
2064021778,0.265921,21.420520,-1.870497,10,6,21.504
2064021782,0.407114,32.061412,-1.678203,12,96,32.108
2064021810,0.112264,7.796145,-2.077987,0,13,8.072
2064021814,0.131470,8.953496,-2.057600,2,5,9.190
2064021819,0.157895,10.549347,-2.042715,4,8,10.748
2064021821,0.733083,48.519106,4.241656,5,42,48.710
2064021828,0.247813,15.952262,-1.953828,8,7,16.074
2064021833,0.339010,21.431444,-1.871543,10,6,21.516
2064021865,0.138694,7.789923,-2.076434,0,15,8.066
2064021870,0.162535,8.982222,-2.064349,2,5,9.220
2064021874,0.193663,10.533043,-2.039662,4,12,10.732
2064021877,0.899053,48.514322,4.241482,5,51,48.708
2064021879,0.237707,12.727108,-2.009527,6,11,12.888
2064021883,0.302492,15.947348,-1.953340,8,6,16.070
2064021888,0.412957,21.442103,-1.872589,10,6,21.528
2064021893,0.660155,33.767198,-1.767802,12,3,33.820
2064021920,0.165515,7.772009,-2.071776,0,15,8.048
2064021925,0.194014,8.987444,-2.065698,2,5,9.226
2064021930,0.230515,10.536228,-2.040425,4,12,10.736
2064021932,1.068438,48.512880,4.241656,5,34,48.710
2064021939,0.358246,15.950164,-1.953828,8,6,16.074
2064021943,0.487167,21.412645,-1.870148,10,6,21.500
2064021948,0.777698,33.750711,-1.767069,12,3,33.806
2064021976,0.192787,7.777178,-2.073329,0,15,8.054
2064021980,0.225222,8.982818,-2.064799,2,5,9.222
2064021985,0.267536,10.551064,-2.043478,4,12,10.752
2064021987,1.231101,48.281818,4.221785,5,8,48.482
2064021994,0.413457,15.948829,-1.953828,8,7,16.074
2064021999,0.562278,21.454652,-1.873983,10,6,21.544
2064022003,0.895091,33.787761,-1.769163,12,3,33.846
2064022031,0.219744,7.793856,-2.077987,0,15,8.072
2064022036,0.255626,8.976155,-2.063449,2,5,9.216
2064022040,0.303670,10.557942,-2.045005,4,8,10.760
2064022049,0.468316,15.967171,-1.956265,8,6,16.094
2064022054,0.635647,21.464563,-1.875029,10,6,21.556
2064022059,1.009720,33.772541,-1.768535,12,3,33.834
2064022086,0.246024,7.785340,-2.075917,0,15,8.064
2064022091,0.286429,8.979125,-2.064349,2,5,9.220
2064022095,0.339655,10.548989,-2.043478,4,8,10.752
2064022105,0.522934,15.945614,-1.953828,8,6,16.074
2064022109,0.710586,21.472180,-1.875901,10,8,21.566
2064022114,1.130002,33.840672,-1.772303,12,3,33.906
2064022142,0.273878,7.784409,-2.075917,0,13,8.064
2064022146,0.318761,8.983885,-2.065698,2,5,9.226
2064022151,0.377256,10.543782,-2.042715,4,8,10.748
2064022155,0.458957,12.721051,-2.009527,6,11,12.888
2064022160,0.580560,15.959512,-1.955778,8,7,16.090
2064022165,0.787188,21.463527,-1.875378,10,10,21.560
2064022169,1.253583,33.904273,-1.775862,12,3,33.974
2064022197,0.302028,7.791101,-2.077987,0,13,8.072
2064022201,0.350316,8.971009,-2.062999,2,5,9.214
2064022206,0.416524,10.589459,-2.051874,4,8,10.796
2064022215,0.637442,15.975221,-1.957971,8,7,16.108
2064022220,0.861537,21.438738,-1.873460,10,14,21.538
2064022224,1.370792,33.871751,-1.774396,12,3,33.946
2064022252,0.328216,7.782308,-2.075917,0,13,8.064
2064022257,0.380845,8.969764,-2.062999,2,5,9.214
2064022261,0.451723,10.568365,-2.048058,4,8,10.776
2064022264,2.876891,67.083856,5.870771,5,30,67.402
2064022271,0.692324,15.984858,-1.959434,8,7,16.120
2064022275,0.936579,21.483453,-1.877644,10,8,21.586
2064022280,1.489040,33.934732,-1.777955,12,3,34.014
2064022307,0.354701,7.781146,-2.075917,0,13,8.064
2064022312,0.411704,8.974253,-2.064349,2,5,9.220
2064022317,0.487480,10.558915,-2.046531,4,8,10.768
2064022326,0.747002,15.978422,-1.958946,8,9,16.116
2064022330,1.011688,21.505977,-1.879910,10,6,21.612
2064022335,1.606760,33.945357,-1.778793,12,3,34.030
2064022363,0.382807,7.799155,-2.081093,0,13,8.084
2064022367,0.443700,8.986386,-2.067498,2,2,9.234
2064022372,0.525114,10.572835,-2.049584,4,8,10.784
2064022377,0.636518,12.741093,-2.013908,6,11,12.916
2064022381,0.802374,15.967787,-1.957971,8,7,16.108
2064022386,1.086551,21.498335,-1.879561,10,6,21.608
2064022390,1.725242,33.939542,-1.778793,12,3,34.030
2064022418,0.409319,7.784267,-2.077470,0,11,8.070
2064022420,3.564129,67.593789,1.180793,1,35,67.698
2064022423,0.475889,9.000351,-2.071097,2,5,9.250
2064022427,0.561808,10.567017,-2.048821,4,8,10.780
2064022436,0.858746,15.976782,-1.959434,8,7,16.120
2064022441,1.163523,21.530222,-1.882699,10,6,21.644
2064022446,1.846736,33.989154,-1.781723,12,3,34.086
2064022473,0.435947,7.773147,-2.074882,0,13,8.060
2064022478,0.506535,8.985015,-2.067948,2,5,9.236
2064022483,0.599801,10.584593,-2.052637,4,8,10.800
2064022492,0.914283,15.969723,-1.958946,8,7,16.116
2064022496,1.237297,21.502160,-1.880607,10,6,21.620
2064022501,1.965369,33.982500,-1.781723,12,3,34.086
2064022530,0.463882,7.785077,-2.078505,0,15,8.074
2064022534,0.538180,8.989032,-2.069298,2,5,9.242
2064022539,0.634233,10.543249,-2.045005,4,8,10.760
2064022548,0.971483,15.998166,-1.962846,8,7,16.148
2064022553,1.313262,21.525599,-1.883048,10,6,21.648
2064022557,2.083229,33.987485,-1.782351,12,3,34.098
2064022585,0.490740,7.789237,-2.080058,0,13,8.080
2064022589,0.568770,8.987148,-2.069298,2,5,9.242
2064022594,0.671607,10.564541,-2.049584,4,8,10.784
2064022596,3.092292,48.533821,4.251069,5,8,48.818
2064022599,0.817367,12.800050,-2.024858,6,11,12.986
2064022603,1.025799,15.992786,-1.962602,8,7,16.146
2064022608,1.387283,21.532935,-1.884093,10,6,21.660
2064022612,2.197600,33.960267,-1.781305,12,3,34.078
2064022640,0.516478,7.775956,-2.076952,0,13,8.068
2064022645,0.599095,8.979318,-2.067948,2,5,9.236
2064022649,0.707078,10.550421,-2.047294,4,8,10.772
2064022652,3.253877,48.443381,4.244097,5,8,48.738
2064022654,0.861484,12.797157,-2.024858,6,11,12.986
